Date,Year,Model,Revenue,Quantity Sold,Region,Country,Channel
15/05/2020,2020, Mercedes EQB,90598,5,Africa,Egypt,Wholesale
15/05/2020,2020,Mercedes AMG C63 S,43416,4,South America,Chile,Wholesale
16/05/2020,2020,Mercedes AMG GT 4-Door Coupe,111456,3,North America,Mexico,Wholesale
16/05/2020,2020,Mercedes EQA,43269,5,Asia,Japan,Dealership
17/05/2020,2020,Mercedes GLE,57571,1,Asia,Japan,Dealership
17/05/2020,2020,Mercedes GLC,32018,2,Africa,Egypt,Dealership
17/05/2020,2020,Mercedes GLC Coupe,106340,2,Africa,South Africa,Wholesale
18/05/2020,2020,Mercedes GLA,36486,4,Asia,India,Wholesale
18/05/2020,2020,Mercedes S-Class,42860,4,Asia,China,Wholesale
18/05/2020,2020,Mercedes-Benz Kamloops,83408,3,Asia,China,Wholesale
18/05/2020,2020,Mercedes AMG C63 S,116677,4,Africa,Egypt,Wholesale
18/05/2020,2020,Mercedes E-Class,111951,5,Africa,Nigeria,Wholesale
20/05/2020,2020,Mercedes AMG E63 S,85700,2,Asia,China,Wholesale
20/05/2020,2020, Mercedes GLB,88369,3,South America,Colombia,Wholesale
20/05/2020,2020,Mercedes GLC Coupe,65916,4,Asia,Japan,Wholesale
20/05/2020,2020,Mercedes S-Class,82097,1,North America,United States,Dealership
21/05/2020,2020,Mercedes EDQ Sedan,77628,2,Asia,China,Dealership
21/05/2020,2020,Mercedes CLS Coupe,90434,3,North America,Mexico,Wholesale
22/05/2020,2020,Mercedes CLA Coupe,32991,2,North America,Canada,Dealership
,,,,,,,
22/05/2020,2020,Mercedes AMG CLA 45,106964,5,Asia,Japan,Wholesale
22/05/2020,2020,Mercedes EQA,70431,4,Africa,Morocco,Dealership
22/05/2020,2020,Mercedes GLC,44550,4,Asia,Thailand,Wholesale
22/05/2020,2020,Mercedes-Benz Kamloops,57284,4,Asia,South Korea,Wholesale
23/05/2020,2020,Mercedes AMG CLA 45,55236,1,North America,Mexico,Wholesale
23/05/2020,2020,Mercedes GLE Coupe,37771,5,Europe,Spain,Wholesale
23/05/2020,2020,Mercedes EQE SUV,100874,1,Asia,Japan,Wholesale
23/05/2020,2020,Mercedes A-Class Sedan,31690,5,Asia,Thailand,Dealership
,,,,,,,
23/05/2020,2020,Mercedes CLA Coupe,113335,5,North America,Canada,Wholesale
,,,,,,,
23/05/2020,2020,Mercedes GLA,45009,5,North America,Mexico,Dealership
24/05/2020,2020,Mercedes AMG CLA 45,36639,4,South America,Colombia,Dealership
25/05/2020,2020,Mercedes-Benz Kamloops,59052,4,Europe,Italy,Wholesale
25/05/2020,2020,Mercedes CLS Coupe,95199,4,South America,Colombia,Wholesale
25/05/2020,2020,Mercedes EDQ Sedan,50836,1,South America,Argentina,Wholesale
25/05/2020,2020,Mercedes AMG GT 4-Door Coupe,80004,3,North America,Canada,Dealership
25/05/2020,2020,Mercedes EDQ Sedan,37907,5,South America,Brazil,Wholesale
26/05/2020,2020,Mercedes GLC,80226,1,Europe,Italy,Wholesale
26/05/2020,2020,Mercedes GLC Coupe,111289,4,Europe,Spain,Wholesale
26/05/2020,2020,Mercedes GLE Coupe,114564,4,Asia,China,Wholesale
26/05/2020,2020,Mercedes A-Class Sedan,118373,3,Europe,Spain,Dealership
,,,,,,,
26/05/2020,2020,Mercedes AMG CLA 45,117822,4,South America,Colombia,Wholesale
27/05/2020,2020,Mercedes A-Class Sedan,65583,5,Asia,Japan,Wholesale
,,,,,,,
28/05/2020,2020,Mercedes CLA Coupe,42281,2,South America,Brazil,Dealership
,,,,,,,
29/05/2020,2020,Mercedes AMG C63 S,50243,4,North America,United States,Dealership
29/05/2020,2020,Mercedes C-Class Coupe,107902,3,Asia,South Korea,Dealership
,,,,,,,
29/05/2020,2020,Mercedes AMG C63 S,51990,2,Europe,Italy,Dealership
29/05/2020,2020,Mercedes CLE Coupe,33567,5,Europe,Italy,Wholesale
,,,,,,,
30/05/2020,2020,Mercedes-Benz Kamloops,113725,5,Africa,Kenya,Wholesale
30/05/2020,2020,Mercedes GLE Coupe,51803,5,North America,Canada,Wholesale
30/05/2020,2020,Mercedes GLC Coupe,100960,3,Asia,Japan,Wholesale
30/05/2020,2020,Mercedes GLE Coupe,84979,2,North America,Mexico,Wholesale
30/05/2020,2020, Mercedes GLB,119838,5,Europe,Italy,Dealership
30/05/2020,2020,Mercedes AMG GT 4-Door Coupe,109598,4,North America,Mexico,Dealership
31/05/2020,2020,Mercedes GLE Coupe,99830,2,Africa,Egypt,Dealership
1/6/2020,2020,Mercedes C-Class Coupe,88967,5,North America,Canada,Dealership
,,,,,,,
1/6/2020,2020,Mercedes GLS,43176,2,Africa,Kenya,Wholesale
1/6/2020,2020,Mercedes GLS,31915,4,South America,Argentina,Wholesale
1/6/2020,2020,Mercedes GLC,78500,1,Europe,Italy,Dealership
1/6/2020,2020,Mercedes AMG E63 S,109271,5,Africa,Morocco,Wholesale
1/6/2020,2020,Mercedes GLE,110067,4,Asia,China,Dealership
1/6/2020,2020,Mercedes A-Class Sedan,50526,3,Europe,Italy,Wholesale
,,,,,,,
1/6/2020,2020,Mercedes E-Class,64723,5,North America,Canada,Wholesale
2/6/2020,2020,Mercedes AMG GT 4-Door Coupe,94390,1,North America,Mexico,Wholesale
2/6/2020,2020,Mercedes A-Class Sedan,114577,4,North America,Mexico,Wholesale
,,,,,,,
2/6/2020,2020,Mercedes AMG CLA 45,54729,4,North America,United States,Wholesale
2/6/2020,2020,Mercedes AMG CLA 45,52744,2,South America,Chile,Wholesale
2/6/2020,2020,Mercedes AMG C63 S,83912,5,Africa,Egypt,Wholesale
2/6/2020,2020,Mercedes-Benz Kamloops,119930,1,North America,United States,Wholesale
3/6/2020,2020,Mercedes CLS Coupe,58869,3,Africa,Kenya,Wholesale
3/6/2020,2020,Mercedes AMG CLA 45,51485,2,Africa,Morocco,Dealership
3/6/2020,2020, Mercedes GLB,101210,5,Europe,Germany,Dealership
4/6/2020,2020,Mercedes EQE SUV,60845,1,South America,Chile,Dealership
4/6/2020,2020,Mercedes C-Class Coupe,59055,2,South America,Colombia,Dealership
,,,,,,,
5/6/2020,2020,Mercedes GLC,53746,1,North America,United States,Wholesale
5/6/2020,2020,Mercedes C-Class Coupe,95088,1,Asia,South Korea,Dealership
,,,,,,,
5/6/2020,2020,Mercedes C-Class Coupe,73938,2,South America,Argentina,Wholesale
,,,,,,,
5/6/2020,2020,Mercedes EDQ Sedan,84407,2,South America,Argentina,Wholesale
5/6/2020,2020,Mercedes A-Class Sedan,58015,5,Africa,South Africa,Wholesale
,,,,,,,
5/6/2020,2020,Mercedes AMG CLA 45,93372,2,Asia,China,Wholesale
6/6/2020,2020,Mercedes AMG SL 63,53814,5,Africa,Kenya,Wholesale
7/6/2020,2020,Mercedes CLA Coupe,37085,1,Africa,Morocco,Wholesale
,,,,,,,
7/6/2020,2020, Mercedes AMG C63 Coupe,79934,2,Asia,Thailand,Dealership
8/6/2020,2020,Mercedes AMG E63 S,86718,5,Africa,Nigeria,Wholesale
8/6/2020,2020, Mercedes EQB,84478,5,Asia,Japan,Wholesale
9/6/2020,2020,Mercedes S-Class,60496,3,Asia,Japan,Dealership
9/6/2020,2020,Mercedes AMG GT 4-Door Coupe,112844,5,Europe,Italy,Wholesale
9/6/2020,2020, Mercedes GLB,75047,5,Africa,Morocco,Wholesale
10/6/2020,2020,Mercedes AMG E63 S,68921,3,Africa,South Africa,Dealership
10/6/2020,2020,Mercedes AMG E63 S,79365,4,North America,Canada,Wholesale
10/6/2020,2020,Mercedes-Benz Kamloops,51291,2,Asia,India,Wholesale
10/6/2020,2020,Mercedes GLE Coupe,63290,3,Europe,Germany,Wholesale
10/6/2020,2020,Mercedes C-Class Coupe,34447,5,Asia,China,Dealership
,,,,,,,
10/6/2020,2020,Mercedes AMG C63 S,79119,5,Africa,South Africa,Dealership
11/6/2020,2020,Mercedes GLC,103212,2,Europe,Spain,Dealership
11/6/2020,2020,Mercedes E-Class,91850,1,Asia,Japan,Dealership
11/6/2020,2020,Mercedes E-Class,57802,3,North America,Mexico,Dealership
11/6/2020,2020,Mercedes GLC Coupe,49689,4,Asia,South Korea,Dealership
11/6/2020,2020,Mercedes S-Class,79956,2,Africa,Kenya,Wholesale
11/6/2020,2020,Mercedes S-Class,106915,2,Asia,India,Dealership
12/6/2020,2020,Mercedes AMG CLA 45,101762,3,Europe,France,Wholesale
13/06/2020,2020,Mercedes AMG C63 S,92496,5,North America,Mexico,Wholesale
13/06/2020,2020,Mercedes GLA,70916,5,Asia,India,Wholesale
13/06/2020,2020,Mercedes EQE SUV,119729,4,South America,Argentina,Wholesale
14/06/2020,2020,Mercedes EQE SUV,65330,3,North America,Canada,Wholesale
14/06/2020,2020,Mercedes AMG GT 4-Door Coupe,38722,2,Europe,United Kingdom,Dealership
14/06/2020,2020,Mercedes CLA Coupe,85448,3,Asia,Japan,Wholesale
,,,,,,,
14/06/2020,2020,Mercedes A-Class Sedan,34708,1,Europe,Germany,Dealership
,,,,,,,
14/06/2020,2020,Mercedes AMG E63 S,59684,2,Africa,Kenya,Dealership
16/06/2020,2020,Mercedes A-Class Sedan,40932,4,Africa,Morocco,Wholesale
,,,,,,,
16/06/2020,2020,Mercedes CLS Coupe,67589,4,Asia,Thailand,Wholesale
16/06/2020,2020,Mercedes EQA,112757,2,Africa,Morocco,Wholesale
16/06/2020,2020,Mercedes GLS,65241,5,South America,Colombia,Dealership
17/06/2020,2020,Mercedes CLA Coupe,39151,2,Africa,Nigeria,Wholesale
,,,,,,,
17/06/2020,2020, Mercedes EQB,30154,2,Africa,Nigeria,Wholesale
17/06/2020,2020,Mercedes EQA,47206,1,Asia,Japan,Dealership
17/06/2020,2020,Mercedes GLC Coupe,49417,2,Africa,Egypt,Dealership
17/06/2020,2020,Mercedes AMG GT 4-Door Coupe,78392,3,South America,Chile,Dealership
18/06/2020,2020, Mercedes AMG C63 Coupe,85900,3,South America,Brazil,Wholesale
19/06/2020,2020,Mercedes EDQ Sedan,58941,4,Europe,United Kingdom,Dealership
19/06/2020,2020,Mercedes CLS Coupe,50045,5,Asia,India,Wholesale
19/06/2020,2020,Mercedes AMG GT 4-Door Coupe,82584,4,Asia,Thailand,Dealership
19/06/2020,2020,Mercedes GLE Coupe,75788,1,Africa,South Africa,Wholesale
20/06/2020,2020,Mercedes AMG GT 4-Door Coupe,93131,2,South America,Peru,Wholesale
20/06/2020,2020,Mercedes AMG CLA 45,37228,4,Asia,India,Wholesale
21/06/2020,2020,Mercedes C-Class Coupe,96500,2,Europe,France,Dealership
,,,,,,,
23/06/2020,2020,Mercedes GLE Coupe,111440,4,Europe,Spain,Dealership
23/06/2020,2020,Mercedes-Benz Kamloops,42094,2,Africa,South Africa,Dealership
23/06/2020,2020, Mercedes GLB,39775,4,Africa,Morocco,Wholesale
24/06/2020,2020,Mercedes A-Class Sedan,66176,3,North America,United States,Dealership
,,,,,,,
25/06/2020,2020,Mercedes GLE Coupe,108753,1,Africa,Morocco,Wholesale
25/06/2020,2020,Mercedes AMG E63 S,65228,4,North America,United States,Dealership
25/06/2020,2020, Mercedes GLB,75335,3,South America,Colombia,Wholesale
25/06/2020,2020,Mercedes C-Class Coupe,36674,5,North America,United States,Wholesale
,,,,,,,
25/06/2020,2020,Mercedes AMG C63 S,57552,4,South America,Peru,Wholesale
26/06/2020,2020,Mercedes AMG E63 S,117180,2,Europe,United Kingdom,Dealership
26/06/2020,2020,Mercedes CLE Coupe,56055,1,North America,Canada,Wholesale
,,,,,,,
26/06/2020,2020,Mercedes EQE SUV,100477,3,Africa,Kenya,Dealership
27/06/2020,2020,Mercedes CLS Coupe,110439,3,North America,Mexico,Wholesale
27/06/2020,2020,Mercedes S-Class,110004,1,South America,Chile,Dealership
29/06/2020,2020,Mercedes GLC,109683,4,South America,Chile,Wholesale
29/06/2020,2020,Mercedes GLC Coupe,63556,2,Europe,United Kingdom,Wholesale
30/06/2020,2020,Mercedes GLA,61301,5,North America,United States,Wholesale
1/7/2020,2020,Mercedes CLS Coupe,70324,4,North America,Mexico,Wholesale
2/7/2020,2020,Mercedes EQA,95519,1,North America,Mexico,Dealership
3/7/2020,2020,Mercedes AMG GT 4-Door Coupe,70694,4,Europe,Italy,Wholesale
3/7/2020,2020,Mercedes S-Class,60682,4,Africa,Nigeria,Wholesale
4/7/2020,2020,Mercedes S-Class,80034,1,Europe,Germany,Wholesale
5/7/2020,2020,Mercedes C-Class Coupe,85267,1,North America,United States,Dealership
,,,,,,,
5/7/2020,2020,Mercedes-Benz Kamloops,114475,5,South America,Brazil,Wholesale
5/7/2020,2020,Mercedes EQE SUV,115062,1,Europe,France,Wholesale
6/7/2020,2020,Mercedes CLA Coupe,83768,1,South America,Colombia,Wholesale
,,,,,,,
6/7/2020,2020,Mercedes EDQ Sedan,40112,1,Africa,Kenya,Wholesale
7/7/2020,2020,Mercedes E-Class,46908,3,North America,United States,Dealership
7/7/2020,2020,Mercedes C-Class Coupe,34153,1,Africa,South Africa,Wholesale
,,,,,,,
7/7/2020,2020,Mercedes GLS,116911,1,Africa,Egypt,Wholesale
7/7/2020,2020,Mercedes GLS,33017,1,North America,Canada,Wholesale
8/7/2020,2020,Mercedes GLE,47744,5,Europe,France,Wholesale
9/7/2020,2020,Mercedes EQA,41112,4,Africa,Morocco,Wholesale
9/7/2020,2020,Mercedes AMG E63 S,104616,1,Europe,Spain,Wholesale
9/7/2020,2020,Mercedes GLS,95095,1,Asia,Thailand,Dealership
10/7/2020,2020,Mercedes AMG E63 S,77284,5,Europe,France,Wholesale
10/7/2020,2020,Mercedes AMG GT 4-Door Coupe,99711,4,North America,Canada,Wholesale
10/7/2020,2020,Mercedes AMG C63 S,65470,5,Asia,South Korea,Wholesale
11/7/2020,2020,Mercedes CLA Coupe,91401,2,Asia,China,Dealership
,,,,,,,
12/7/2020,2020,Mercedes-Benz Kamloops,106303,2,Africa,Nigeria,Dealership
13/07/2020,2020,Mercedes AMG CLA 45,109707,2,South America,Chile,Wholesale
13/07/2020,2020,Mercedes AMG GT 4-Door Coupe,74933,1,South America,Colombia,Wholesale
14/07/2020,2020,Mercedes EQE SUV,90887,5,Europe,Germany,Wholesale
14/07/2020,2020,Mercedes AMG E63 S,34718,1,South America,Colombia,Wholesale
14/07/2020,2020,Mercedes GLS,96904,2,Africa,South Africa,Wholesale
14/07/2020,2020,Mercedes AMG CLA 45,102940,4,North America,Mexico,Wholesale
15/07/2020,2020,Mercedes EQA,52211,4,South America,Brazil,Wholesale
15/07/2020,2020, Mercedes AMG C63 Coupe,44674,5,South America,Peru,Wholesale
15/07/2020,2020,Mercedes S-Class,59985,4,Africa,Kenya,Wholesale
16/07/2020,2020,Mercedes-Benz Kamloops,96944,2,Asia,Japan,Wholesale
16/07/2020,2020,Mercedes GLE,106620,5,Asia,Thailand,Wholesale
16/07/2020,2020,Mercedes EQA,73408,5,Asia,Thailand,Wholesale
16/07/2020,2020,Mercedes EQE SUV,44864,2,Africa,Egypt,Wholesale
17/07/2020,2020,Mercedes CLA Coupe,51432,2,Africa,South Africa,Wholesale
,,,,,,,
17/07/2020,2020,Mercedes EQA,57100,2,South America,Brazil,Dealership
17/07/2020,2020,Mercedes A-Class Sedan,89514,2,Europe,Italy,Wholesale
,,,,,,,
17/07/2020,2020,Mercedes E-Class,86782,5,North America,Canada,Dealership
18/07/2020,2020,Mercedes E-Class,88543,4,Africa,Kenya,Wholesale
18/07/2020,2020, Mercedes AMG C63 Coupe,82233,2,Asia,China,Dealership
18/07/2020,2020, Mercedes GLB,43750,3,Asia,Thailand,Wholesale
19/07/2020,2020,Mercedes AMG CLA 45,42170,5,Africa,Morocco,Dealership
20/07/2020,2020,Mercedes EQE SUV,31376,1,Africa,South Africa,Dealership
20/07/2020,2020,Mercedes AMG E63 S,63435,4,North America,United States,Wholesale
20/07/2020,2020,Mercedes S-Class,118901,5,South America,Chile,Wholesale
20/07/2020,2020,Mercedes GLS,54448,2,North America,Canada,Dealership
20/07/2020,2020,Mercedes S-Class,58672,3,Asia,China,Wholesale
20/07/2020,2020,Mercedes E-Class,77820,1,Africa,Kenya,Dealership
20/07/2020,2020,Mercedes CLS Coupe,99152,4,South America,Peru,Wholesale
21/07/2020,2020, Mercedes GLB,82282,2,Africa,Kenya,Wholesale
23/07/2020,2020,Mercedes AMG C63 S,96764,5,Europe,Germany,Wholesale
23/07/2020,2020,Mercedes EQE SUV,44602,5,Africa,Nigeria,Dealership
23/07/2020,2020,Mercedes EQE SUV,42155,4,South America,Brazil,Dealership
24/07/2020,2020,Mercedes GLC,45229,3,Asia,Japan,Dealership
24/07/2020,2020,Mercedes AMG E63 S,104648,2,North America,United States,Dealership
26/07/2020,2020,Mercedes GLE Coupe,73374,4,Asia,South Korea,Wholesale
26/07/2020,2020, Mercedes GLB,91969,4,Europe,Spain,Wholesale
27/07/2020,2020,Mercedes GLC Coupe,76576,5,South America,Peru,Wholesale
28/07/2020,2020,Mercedes EQE SUV,96586,4,Africa,Morocco,Wholesale
28/07/2020,2020,Mercedes-Benz Kamloops,77879,1,Asia,India,Wholesale
28/07/2020,2020,Mercedes AMG GT 4-Door Coupe,45640,1,South America,Peru,Wholesale
28/07/2020,2020,Mercedes EQE SUV,119344,2,North America,United States,Dealership
29/07/2020,2020,Mercedes A-Class Sedan,109314,4,South America,Argentina,Wholesale
,,,,,,,
29/07/2020,2020,Mercedes-Benz Kamloops,88867,5,Asia,Thailand,Wholesale
30/07/2020,2020,Mercedes GLE Coupe,105165,2,Europe,United Kingdom,Wholesale
30/07/2020,2020,Mercedes EDQ Sedan,56644,3,South America,Peru,Wholesale
30/07/2020,2020,Mercedes GLC,108561,5,Africa,Kenya,Wholesale
31/07/2020,2020,Mercedes AMG CLA 45,108455,3,North America,Canada,Wholesale
1/8/2020,2020,Mercedes AMG C63 S,101842,2,North America,United States,Dealership
1/8/2020,2020,Mercedes GLE,37943,1,South America,Peru,Wholesale
1/8/2020,2020,Mercedes EQE SUV,93128,5,South America,Colombia,Dealership
1/8/2020,2020,Mercedes-Benz Kamloops,116111,5,Asia,South Korea,Wholesale
1/8/2020,2020, Mercedes AMG C63 Coupe,33709,2,Africa,Egypt,Wholesale
2/8/2020,2020,Mercedes C-Class Coupe,45326,5,Africa,Kenya,Dealership
,,,,,,,
2/8/2020,2020,Mercedes CLS Coupe,71206,5,North America,Mexico,Dealership
2/8/2020,2020, Mercedes EQB,71842,2,Asia,Japan,Wholesale
2/8/2020,2020, Mercedes AMG C63 Coupe,75061,4,Africa,Kenya,Wholesale
2/8/2020,2020, Mercedes GLB,65017,2,North America,United States,Wholesale
3/8/2020,2020,Mercedes GLE,97562,5,Asia,Thailand,Dealership
3/8/2020,2020, Mercedes AMG C63 Coupe,113463,2,North America,United States,Wholesale
3/8/2020,2020, Mercedes AMG C63 Coupe,104423,5,Asia,Thailand,Dealership
3/8/2020,2020, Mercedes GLB,59511,3,Asia,South Korea,Wholesale
3/8/2020,2020,Mercedes GLS,76921,3,South America,Peru,Dealership
4/8/2020,2020,Mercedes GLC Coupe,92645,1,Asia,South Korea,Wholesale
4/8/2020,2020,Mercedes E-Class,111468,2,Asia,China,Wholesale
5/8/2020,2020, Mercedes AMG C63 Coupe,112632,2,Asia,India,Dealership
5/8/2020,2020,Mercedes GLC Coupe,39570,3,South America,Chile,Wholesale
6/8/2020,2020,Mercedes GLA,99131,3,North America,Mexico,Wholesale
6/8/2020,2020,Mercedes CLE Coupe,40624,3,South America,Chile,Wholesale
,,,,,,,
7/8/2020,2020,Mercedes AMG SL 63,103098,1,Africa,Egypt,Dealership
7/8/2020,2020,Mercedes GLE,40739,1,North America,Canada,Wholesale
8/8/2020,2020,Mercedes EQA,117657,4,Europe,United Kingdom,Wholesale
8/8/2020,2020,Mercedes GLE Coupe,79101,2,Africa,Nigeria,Wholesale
8/8/2020,2020,Mercedes GLA,53547,1,South America,Brazil,Dealership
8/8/2020,2020,Mercedes CLA Coupe,35939,5,Asia,Japan,Wholesale
,,,,,,,
9/8/2020,2020,Mercedes AMG CLA 45,67079,2,Europe,Germany,Wholesale
9/8/2020,2020, Mercedes EQB,48982,4,Asia,Thailand,Wholesale
9/8/2020,2020,Mercedes C-Class Coupe,116798,3,Africa,Kenya,Wholesale
,,,,,,,
10/8/2020,2020,Mercedes AMG SL 63,40004,4,Asia,South Korea,Wholesale
10/8/2020,2020,Mercedes EQA,118770,2,South America,Brazil,Dealership
10/8/2020,2020,Mercedes GLE,95480,3,North America,Canada,Wholesale
11/8/2020,2020, Mercedes GLB,45802,4,South America,Colombia,Dealership
11/8/2020,2020,Mercedes GLE,76678,4,Europe,Italy,Wholesale
11/8/2020,2020,Mercedes S-Class,46490,2,South America,Chile,Wholesale
11/8/2020,2020,Mercedes GLS,70794,1,Africa,Morocco,Wholesale
12/8/2020,2020, Mercedes AMG C63 Coupe,55789,5,Europe,Spain,Wholesale
12/8/2020,2020,Mercedes GLA,53051,4,Asia,Japan,Dealership
13/08/2020,2020,Mercedes A-Class Sedan,45213,5,Africa,Morocco,Online
,,,,,,,
13/08/2020,2020,Mercedes EQE SUV,113449,2,North America,Mexico,Wholesale
13/08/2020,2020,Mercedes EQA,94877,2,Asia,South Korea,Wholesale
13/08/2020,2020,Mercedes GLE Coupe,100561,1,North America,United States,Online
14/08/2020,2020, Mercedes EQB,86636,3,Asia,China,Online
14/08/2020,2020,Mercedes GLE Coupe,98347,5,Asia,Thailand,Wholesale
15/08/2020,2020,Mercedes AMG CLA 45,102246,4,Africa,Nigeria,Wholesale
15/08/2020,2020,Mercedes S-Class,48697,3,Asia,China,Wholesale
17/08/2020,2020,Mercedes EQE SUV,34696,5,Europe,United Kingdom,Online
17/08/2020,2020,Mercedes GLC Coupe,57039,5,Europe,Germany,Wholesale
18/08/2020,2020,Mercedes CLA Coupe,48408,3,Africa,Nigeria,Wholesale
,,,,,,,
18/08/2020,2020,Mercedes CLS Coupe,69883,3,North America,Mexico,Wholesale
19/08/2020,2020,Mercedes S-Class,73634,1,South America,Argentina,Online
20/08/2020,2020,Mercedes GLE,53511,4,South America,Colombia,Online
20/08/2020,2020,Mercedes GLS,87450,4,Europe,France,Wholesale
20/08/2020,2020,Mercedes EDQ Sedan,66102,4,Africa,South Africa,Online
21/08/2020,2020,Mercedes EQE SUV,57948,3,Asia,Thailand,Dealership
21/08/2020,2020,Mercedes A-Class Sedan,117050,1,Asia,India,Wholesale
,,,,,,,
21/08/2020,2020,Mercedes CLE Coupe,91407,2,North America,United States,Wholesale
,,,,,,,
21/08/2020,2020,Mercedes EQE SUV,38418,1,North America,United States,Online
21/08/2020,2020,Mercedes AMG GT 4-Door Coupe,102138,3,South America,Brazil,Online
22/08/2020,2020,Mercedes EQA,87148,1,Europe,United Kingdom,Wholesale
22/08/2020,2020,Mercedes AMG C63 S,94975,3,Asia,Japan,Wholesale
23/08/2020,2020,Mercedes GLE Coupe,94143,5,Asia,Japan,Dealership
23/08/2020,2020,Mercedes EDQ Sedan,53003,5,South America,Peru,Online
23/08/2020,2020,Mercedes C-Class Coupe,39275,2,Africa,Kenya,Online
,,,,,,,
24/08/2020,2020,Mercedes AMG GT 4-Door Coupe,46396,5,Asia,China,Wholesale
24/08/2020,2020,Mercedes GLE Coupe,61288,2,Africa,Nigeria,Wholesale
24/08/2020,2020,Mercedes AMG E63 S,95876,4,Europe,Spain,Wholesale
25/08/2020,2020,Mercedes CLE Coupe,62001,3,Europe,Spain,Online
,,,,,,,
25/08/2020,2020,Mercedes EDQ Sedan,48277,4,South America,Argentina,Wholesale
26/08/2020,2020,Mercedes GLE Coupe,72605,4,South America,Colombia,Online
27/08/2020,2020,Mercedes A-Class Sedan,36122,2,South America,Colombia,Online
,,,,,,,
27/08/2020,2020,Mercedes GLE,53807,3,Europe,Italy,Dealership
27/08/2020,2020, Mercedes GLB,102161,2,North America,Canada,Online
28/08/2020,2020,Mercedes EQE SUV,49843,1,Asia,Thailand,Dealership
28/08/2020,2020,Mercedes C-Class Coupe,81137,4,North America,United States,Dealership
,,,,,,,
29/08/2020,2020,Mercedes GLC Coupe,84757,3,Africa,South Africa,Wholesale
29/08/2020,2020,Mercedes CLA Coupe,44821,4,North America,Mexico,Wholesale
,,,,,,,
30/08/2020,2020,Mercedes GLA,61979,1,Africa,Egypt,Online
30/08/2020,2020, Mercedes GLB,40726,1,Asia,Japan,Wholesale
30/08/2020,2020,Mercedes CLS Coupe,51780,3,Africa,South Africa,Wholesale
31/08/2020,2020,Mercedes CLA Coupe,98897,3,South America,Peru,Wholesale
,,,,,,,
31/08/2020,2020,Mercedes GLA,72202,1,Asia,China,Dealership
1/9/2020,2020,Mercedes A-Class Sedan,70849,4,North America,Mexico,Wholesale
,,,,,,,
1/9/2020,2020,Mercedes S-Class,62740,5,South America,Chile,Wholesale
3/9/2020,2020, Mercedes EQB,81894,4,Asia,South Korea,Dealership
3/9/2020,2020,Mercedes AMG SL 63,108405,5,Africa,Egypt,Wholesale
4/9/2020,2020,Mercedes AMG E63 S,68019,2,Africa,Nigeria,Wholesale
5/9/2020,2020,Mercedes E-Class,83140,3,South America,Chile,Wholesale
5/9/2020,2020,Mercedes-Benz Kamloops,45161,1,Africa,Kenya,Online
5/9/2020,2020,Mercedes GLS,34234,2,Europe,France,Online
5/9/2020,2020,Mercedes AMG SL 63,83014,4,Asia,Thailand,Online
5/9/2020,2020,Mercedes EQE SUV,116513,5,North America,United States,Wholesale
5/9/2020,2020,Mercedes GLS,62624,3,Europe,Spain,Online
6/9/2020,2020,Mercedes EQE SUV,45740,5,North America,Canada,Online
6/9/2020,2020,Mercedes EQE SUV,90117,4,North America,Mexico,Online
7/9/2020,2020, Mercedes EQB,107613,4,Asia,Japan,Online
8/9/2020,2020,Mercedes EQA,91531,1,Europe,Italy,Dealership
8/9/2020,2020,Mercedes AMG GT 4-Door Coupe,32170,2,Europe,Italy,Online
8/9/2020,2020,Mercedes GLA,61535,3,South America,Peru,Wholesale
9/9/2020,2020,Mercedes AMG CLA 45,100819,1,Europe,Spain,Online
9/9/2020,2020,Mercedes GLS,66593,5,Africa,Nigeria,Dealership
10/9/2020,2020, Mercedes AMG C63 Coupe,38484,2,North America,Mexico,Dealership
10/9/2020,2020,Mercedes GLS,33665,3,South America,Peru,Wholesale
11/9/2020,2020,Mercedes GLE,108845,5,Asia,China,Dealership
11/9/2020,2020,Mercedes AMG SL 63,89026,3,North America,United States,Dealership
11/9/2020,2020,Mercedes C-Class Coupe,70584,3,South America,Peru,Dealership
,,,,,,,
12/9/2020,2020,Mercedes C-Class Coupe,114147,2,Africa,Kenya,Dealership
,,,,,,,
12/9/2020,2020,Mercedes AMG GT 4-Door Coupe,37089,5,Europe,Germany,Online
12/9/2020,2020,Mercedes GLC,34115,1,South America,Brazil,Online
13/09/2020,2020,Mercedes E-Class,88559,1,North America,Mexico,Dealership
13/09/2020,2020,Mercedes AMG SL 63,47945,1,Europe,United Kingdom,Dealership
13/09/2020,2020, Mercedes AMG C63 Coupe,62401,3,North America,Mexico,Online
14/09/2020,2020,Mercedes S-Class,115381,4,Asia,India,Wholesale
14/09/2020,2020,Mercedes GLA,116854,2,Europe,Germany,Online
14/09/2020,2020,Mercedes GLS,42413,1,North America,Mexico,Dealership
14/09/2020,2020,Mercedes CLE Coupe,91776,2,Asia,India,Online
,,,,,,,
14/09/2020,2020,Mercedes GLC Coupe,101041,3,South America,Colombia,Wholesale
14/09/2020,2020, Mercedes AMG C63 Coupe,37131,2,Africa,South Africa,Wholesale
15/09/2020,2020,Mercedes S-Class,62208,1,Europe,Italy,Wholesale
15/09/2020,2020,Mercedes CLA Coupe,110202,1,North America,Mexico,Online
,,,,,,,
